神秘の森に隠された真実,家族を亡くした少年は神秘的な森で真実を探し始める。
運命の出会い,高校生の少女は夏祭りで運命の人と出会う。
魔法使いの弟子,普通の少年が魔法使いに弟子入りし、成長していく物語。
紅蓮の剣,伝説の剣を巡る冒険と友情の物語。
銀色の月の下で,美しい月夜に現れる謎の少女との恋愛物語。
未来からの伝言,未来から来た少女が過去を変えようとする物語。
異世界の王女様,異世界からやってきた王女と現代世界の男子高校生の交流。
天空の騎士団,空を飛ぶことができる騎士たちの冒険と戦い。
夜明けの竜騎士,竜を操る少年が仲間との絆を深める冒険物語。
忘れられた伝説,古代の伝説を解き明かすための旅に出る青年の物語。
水晶の彼方に,悠久の都トルマリンに住む少女が時を超える冒険に挑む物語
銀の瞳,夜の街を守る不死者の少年と彼を取り巻く謎の出来事
魔法少女ルリ,平凡な高校生が魔法少女として覚醒する日常と非日常の物語
影の王,影を操る能力を持つ少年の波乱万丈な学園生活
天使の囁き,天使と契約した少女が奇跡を起こす心温まる物語
紅蓮の剣士,異世界に召喚された主人公が剣術で戦う冒険譚
月夜の舞姫,舞台女優として成功を目指す少女の成長の物語
風の使者,風を纏う少年が旅するファンタジー世界の冒険記
夜明けの君へ,科学と魔法が交差する未来都市での恋愛ストーリー
梟の騎士団,謎の古代遺跡を探る勇敢な騎士たちの冒険譚
新しい冒険,若い冒険者が未知の土地を探索し、仲間たちとともに困難に立ち向かう物語。
運命の魔法使い,平凡な少年が古代の魔法に目覚め、世界を救う使命を帯びることとなる。
異世界商人の日常,異世界で商売を始めた青年が、奇想天外な取引と出会いを通じて成長する。
ドラゴンハンターの伝説,伝説のドラゴンハンターが、次々と強敵に挑む壮大な冒険譚。
秘密の図書館,不思議な図書館に迷い込んだ少女が、古代文明の謎を解き明かす。
空飛ぶ学園都市,空に浮かぶ学園都市で繰り広げられる友情と戦いの日々。
魔王と契約者,魔王と契約を結んだ少年が、強大な力を手にして戦うファンタジー。
未来の機械兵,近未来の人工知能と人間の友情が描かれた物語。
色褪せた古城,古城に伝わる伝説を巡る、謎解きと冒険の旅。
闇夜の剣士,闇を切り裂く剣士が、世界を救うために立ち上がるダークファンタジー。
異世界商店街,異世界に召喚された高校生が謎の力で商店街を開き、モンスターや冒険者に商品を売る物語。
魔王子の嘆き,魔王の息子が人間界に降り立ち、自分探しの旅を始めるファンタジー。
転生したら猫でした,ある日突然猫に転生した少年が、猫の姿で人間世界を冒険するコメディ。
悪役令嬢の無限ループ,悪役令嬢として何度も同じ人生を繰り返す少女が運命を変えようと奮闘するロマンス。
天空の騎士団,天空からの騎士団が地上を救うために現れ、壮大な戦いが繰り広げられるバトルストーリー。
異能学園の事件簿,特異な能力を持つ学生たちが通う学園で次々と起こる事件を解決していくミステリー。
影の王国,闇の影たちが支配する王国の中で繰り広げられる陰謀と裏切りの物語。
神々の秘宝,古代の神々が遺した秘宝を巡り、若者たちが冒険するエピックファンタジー。
黒薔薇の魔女,黒薔薇の魔力を持つ不思議な少女が自分の力と向き合いながら成長するダークファンタジー。
